senet:
Test set: Average loss: 2.2473, Accuracy: 0.5037
Test set: Average loss: 2.2443, Accuracy: 0.5110
Test set: Average loss: 2.2718, Accuracy: 0.5074
Test set: Average loss: 2.2696, Accuracy: 0.5074
Test set: Average loss: 2.2813, Accuracy: 0.5110
Test set: Average loss: 2.2879, Accuracy: 0.5110
Test set: Average loss: 2.3093, Accuracy: 0.5110
Test set: Average loss: 2.3087, Accuracy: 0.5184
Test set: Average loss: 2.3294, Accuracy: 0.5074
Test set: Average loss: 2.3358, Accuracy: 0.5110
Test set: Average loss: 2.3406, Accuracy: 0.5037
Test set: Average loss: 2.3615, Accuracy: 0.5074
Test set: Average loss: 2.3625, Accuracy: 0.5074
Test set: Average loss: 2.3871, Accuracy: 0.5074
Test set: Average loss: 2.3696, Accuracy: 0.5110
Test set: Average loss: 2.3873, Accuracy: 0.5184
Test set: Average loss: 2.3956, Accuracy: 0.5037
Test set: Average loss: 2.4089, Accuracy: 0.5110
Test set: Average loss: 2.4175, Accuracy: 0.5147
Test set: Average loss: 2.4314, Accuracy: 0.5074
Test set: Average loss: 2.4292, Accuracy: 0.5074
Test set: Average loss: 2.4441, Accuracy: 0.5074
Test set: Average loss: 2.4447, Accuracy: 0.5074
Test set: Average loss: 2.4533, Accuracy: 0.5037
Test set: Average loss: 2.4593, Accuracy: 0.5074
Test set: Average loss: 2.4690, Accuracy: 0.5110
Test set: Average loss: 2.4776, Accuracy: 0.5074
Test set: Average loss: 2.4779, Accuracy: 0.5074
Test set: Average loss: 2.5014, Accuracy: 0.5037
Test set: Average loss: 2.5000, Accuracy: 0.5110
Test set: Average loss: 2.5145, Accuracy: 0.5037
Test set: Average loss: 2.5235, Accuracy: 0.5110
Test set: Average loss: 2.5205, Accuracy: 0.5110
Test set: Average loss: 2.5248, Accuracy: 0.5074
Test set: Average loss: 2.5402, Accuracy: 0.5110
Test set: Average loss: 2.5407, Accuracy: 0.5110
Test set: Average loss: 2.5459, Accuracy: 0.5147
Test set: Average loss: 2.5423, Accuracy: 0.5110
Test set: Average loss: 2.5560, Accuracy: 0.5037
Test set: Average loss: 2.5674, Accuracy: 0.5000
Test set: Average loss: 2.5762, Accuracy: 0.5074
Test set: Average loss: 2.5785, Accuracy: 0.5037
Test set: Average loss: 2.5854, Accuracy: 0.5110
Test set: Average loss: 2.5879, Accuracy: 0.5074
Test set: Average loss: 2.5952, Accuracy: 0.5074
Test set: Average loss: 2.6043, Accuracy: 0.5110
Test set: Average loss: 2.6133, Accuracy: 0.5000
Test set: Average loss: 2.6090, Accuracy: 0.5074
Test set: Average loss: 2.6160, Accuracy: 0.5037
Test set: Average loss: 2.6285, Accuracy: 0.5037
